anno;CCIAA;codice_provincia;provincia;codice_comune;comune;natura_giuridica;sezione;settore_attivita;registrate;attive
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI PERSONE;n;Non indicato;2;0
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI PERSONE;A;AGRICOLTURA, SILVICOLTURA E PESCA;13;13
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI PERSONE;C;ATTIVITÀ MANIFATTURIERE;18;15
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI PERSONE;D;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;1;1
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI PERSONE;F;COSTRUZIONI;10;9
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI PERSONE;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";16;15
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI PERSONE;H;TRASPORTO E MAGAZZINAGGIO;2;1
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI PERSONE;I;ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;17;15
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI PERSONE;J;SERVIZI DI INFORMAZIONE E COMUNICAZIONE;1;1
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI PERSONE;L;ATTIVITÀ IMMOBILIARI;4;4
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI PERSONE;M;ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE;1;1
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI PERSONE;R;ATTIVITÀ ARTISTICHE, SPORTIVE, DI INTRATTENIMENTO E DIVERTIMENTO;2;2
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI PERSONE;S;ALTRE ATTIVITÀ DI SERVIZI;1;1
2014;AR;051;AREZZO;051002;AREZZO;ALTRE FORME;n;Non indicato;7;0
